"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 21 18:43:28 GMT 2023","Fri Jul 21 18:43:28 GMT 2023","288","","Validar o endpoint POST /list/{list_id}/clear","","Validar o endpoint POST /list/{list_id}/clear","Validar limpar a lista com sucesso","Validar limpar a lista com sucesso",""
"broken","Fri Jul 21 18:43:33 GMT 2023","Fri Jul 21 18:43:33 GMT 2023","0","","Validar o enpoint DELETE /list/{list_id}","","Validar o enpoint DELETE /list/{list_id}","""before all"" hook for ""Validar exclusão de uma lista com sucesso""","""before all"" hook for ""Validar exclusão de uma lista com sucesso""",""
"passed","Fri Jul 21 18:43:30 GMT 2023","Fri Jul 21 18:43:31 GMT 2023","246","","Validar o enpoint POST /list","","Validar o enpoint POST /list","Validar criação de uma lista com sucesso","Validar criação de uma lista com sucesso",""
"passed","Fri Jul 21 18:43:24 GMT 2023","Fri Jul 21 18:43:24 GMT 2023","262","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar adição de filme na lista com sucesso","Validar adição de filme na lista com sucesso",""
"passed","Fri Jul 21 18:43:24 GMT 2023","Fri Jul 21 18:43:25 GMT 2023","297","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao tentar adicionar o mesmo filme mais de uma vez","Validar erro ao tentar adicionar o mesmo filme mais de uma vez",""
"passed","Fri Jul 21 18:43:36 GMT 2023","Fri Jul 21 18:43:36 GMT 2023","321","","Validar o endpoint /list/{list_id}","","Validar o endpoint /list/{list_id}","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 21 18:43:38 GMT 2023","Fri Jul 21 18:43:39 GMT 2023","317","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar remoção de filme da lista com sucesso","Validar remoção de filme da lista com sucesso",""
"passed","Fri Jul 21 18:43:39 GMT 2023","Fri Jul 21 18:43:39 GMT 2023","260","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar erro ao remover um filme sem estar com o token de autorização","Validar erro ao remover um filme sem estar com o token de autorização",""
"passed","Fri Jul 21 18:43:25 GMT 2023","Fri Jul 21 18:43:25 GMT 2023","248","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao adicionar filme inválido","Validar erro ao adicionar filme inválido",""
"passed","Fri Jul 21 18:43:21 GMT 2023","Fri Jul 21 18:43:22 GMT 2023","325","","Validar o endpoint account/{account_id}/lists","","Validar o endpoint account/{account_id}/lists","Validar o método GET","Validar o método GET",""
"passed","Fri Jul 21 18:43:25 GMT 2023","Fri Jul 21 18:43:25 GMT 2023","184","","Validar o endpoint POST /list/add_movie","","Validar o endpoint POST /list/add_movie","Validar erro ao adicionar o filme sem estar autorizado","Validar erro ao adicionar o filme sem estar autorizado",""
"passed","Fri Jul 21 18:43:39 GMT 2023","Fri Jul 21 18:43:39 GMT 2023","261","","Validar o endpoint POST /list/{list_id}/remove_item","","Validar o endpoint POST /list/{list_id}/remove_item","Validar erro ao remover um filme que não está contido na lista","Validar erro ao remover um filme que não está contido na lista",""
